Trading Day,AAPL,BNTX,BRK-B,CSCO,IYK
1,72.36203003,30.19999695,221.6900024,37.67144394,40.36744308
2,69.91098022,33.00286865,218.0500031,36.59266281,39.35474014
3,71.02001953,33.30881882,216.0599976,36.09609604,39.10082626
4,66.37757874,33.43712234,207.6699982,34.28100204,37.37714767
5,66.33872986,34.6411705,206.3399963,34.1868248,36.89618683
6,72.5149231,36.12156296,217.6300049,35.24848175,38.56010818
7,70.2118988,37.97698975,208.8099976,34.28100204,38.10305023
8,73.46863556,38.67770767,217.8600006,35.43683624,39.7221756
9,71.08554077,36.63476563,208.9600067,33.8786087,38.63180923
10,70.14151764,37.59208679,205.9799957,33.97278595,38.06721115
11,64.59388733,33.04234695,193.1300049,32.50017548,35.65645981
12,69.24602509,33.51607513,202.7299957,34.31526184,37.02762604
13,66.84108734,31.74947166,194.6399994,31.72106552,35.21432877
14,60.24020386,28.17679405,175.9700012,28.42481232,31.67139244
15,67.45750427,30.52568245,196.3999939,32.22620392,33.87602234
16,58.77930069,39.47711945,177.7700043,28.86146355,30.74832344
17,61.36381912,65.72940063,187.6000061,30.39399719,32.54069519
18,59.8616333,90.79737854,172.4400024,31.78099442,30.37789917
19,59.40297318,58.52482986,174.6799927,32.28612518,30.62882233
20,55.63175201,45.89215088,170.0599976,30.47961426,28.80955887
21,54.44989395,50.6392746,162.1300049,29.62344742,27.9044075
22,59.91260529,52.93881607,178.1999969,33.04812241,30.17773438
23,59.58256149,46.58300018,180.4700012,32.25188828,30.8345871
24,62.71796036,54.28104019,183.8999939,34.74333954,32.48117065
25,60.12129974,54.28104019,179.6600037,33.23647308,32.16567993
26,61.83705139,61.18953705,183.1799927,34.52074051,33.12719727
27,61.71083832,57.63659668,182.8300018,33.65600586,32.5112114
28,58.46380234,52.22822571,175.9499969,32.8169632,31.45655823
29,59.43938065,56.16607285,179.7299957,34.39860153,32.06351852
30,58.58514786,52.06045151,178.3399963,33.75903702,32.19571304
31,63.69597244,52.04071045,185.2400055,35.80738831,33.68907928
32,62.95821762,45.00391388,185.25,35.1246109,33.71912003
33,64.5696106,44.36241531,191.0099945,36.0753212,34.49434662
34,65.03555298,44.81639862,193.8399963,35.60860825,35.01416397
35,66.31204987,41.1647644,188.7700043,35.62589645,34.66861725
36,69.661026,41.08581161,192.9400024,36.97418213,36.08084869
37,69.02519226,38.07568359,188.5700073,35.88517761,35.50092316
38,69.57365417,38.2829361,187.9600067,35.86789703,35.60008621
39,68.62963104,40.27653122,191.1999969,36.71488953,36.40235138
40,67.20509338,42.80306625,188.75,36.76676178,35.69623947
41,65.12776947,41.70757675,183.4799957,35.04681778,34.67762756
42,67.003685,52.80064774,186.5800018,36.09260559,35.10730362
43,66.7440033,49.3463974,185.6300049,35.97161102,34.93002701
44,68.67088318,47.12581253,186.5200043,36.74946594,35.36270905
45,68.71941376,48.75424576,187.4600067,37.21618271,35.97567749
46,67.60552216,45.23091125,187.1199951,36.72354126,36.22806931
47,69.82602692,48.60620499,189.6100006,37.4581871,36.45342255
48,71.29911041,46.85934067,187.3600006,36.62846375,35.95164108
49,70.15122986,44.52032089,182.6699982,35.36660385,35.11933517
50,71.1437912,45.18156052,177.9499969,35.73825836,35.1373558
51,72.21157074,49.3463974,176.0299988,35.83332062,35.30862045
52,72.956604,47.1554184,172.3800049,35.56539154,35.09228516
53,73.71131134,48.67528915,173.4799957,35.75553513,35.14937973
54,75.46580505,48.59633636,176.8300018,37.1556778,36.17098999
55,76.65323639,49.32666016,174.6399994,37.44089508,36.01174164
56,75.77726746,48.68515778,172.8099976,37.35446548,35.52797699
57,74.86231995,47.85614014,170.5700073,36.25682831,34.97209549
58,75.32221985,48.02391434,170.9299927,37.89896393,35.00514603
59,74.87689972,48.84306717,169.25,38.26197052,35.32666016
60,76.64109039,59.38345337,175.4600067,38.94475174,36.23707962
61,76.19822693,49.92868805,172.4900055,38.55582428,35.81642914
62,77.68013,52.34666061,176.0200043,39.27317429,36.28516769
63,77.10098267,51.22156525,174.9400024,38.58174896,36.11088562
64,77.59741974,50.36293411,174.9299927,38.80646515,36.22507477
65,77.07180786,50.21489716,180.3399963,38.75460052,36.66375732
66,77.40759277,46.96790314,185.7700043,39.72261047,37.4329834
67,77.44165039,46.25731277,185.1000061,39.41145706,37.39090347
68,77.36621857,48.88254166,185.5800018,41.33017731,37.4389801
69,78.31767273,51.61633301,183.8399963,40.01646805,38.01888657
70,78.68024445,51.69528961,185.9400024,40.52639771,38.16612244
71,79.11338806,50.49123383,190.8200073,40.5696106,38.58979797
72,78.43202972,49.3463974,192.0500031,40.50046539,38.32538223
73,80.6658783,48.537117,200.6600037,41.33883286,39.12764359
74,81.14281464,48.14234543,201.5599976,41.59811783,39.79769516
75,83.7051239,47.16529083,196.0700073,41.52897644,39.27487564
76,85.85865021,46.7902565,191.5099945,40.98445511,39.34999466
77,81.73654175,47.96469879,178.0200043,37.74339294,37.39992142
78,82.4422226,47.94496155,181.2100067,38.95339203,37.55016327
79,83.46179199,50.18528748,181.5500031,39.19539261,38.1906395
80,85.67372894,49.24770737,182.3000031,40.17203522,38.79071045
81,85.55448151,50.18528748,180.8600006,39.90410995,38.70929718
82,85.58855438,50.27410889,180.7299957,39.6102562,38.85403824
83,85.0994339,50.68862152,179.7200012,39.1694603,38.5464592
84,87.32595825,56.69901276,180.1699982,39.03117752,38.49520493
85,89.18991852,52.06045151,181.0099945,39.29911423,38.55852127
86,87.61555481,54.01456833,177.5299988,38.67682266,37.72927475
87,88.77869415,58.92947006,178.8500061,39.08304214,38.04288101
88,86.05089569,61.31783676,175.3699951,40.02511215,37.17443848
89,88.03407288,64.93986511,177.1900024,39.88683701,37.93432617
90,88.76894379,65.86756897,178.5099945,40.31032562,38.4620285
91,88.60105133,63.30155945,177.9900055,39.80904007,38.58867645
92,88.60105133,62.44293594,178.8300018,39.74806595,38.98671341
93,90.97116089,64.65365601,182.7200012,40.43622971,39.67121887
94,90.68888855,68.43358612,181.1499939,39.74806595,39.65312576
95,92.80102539,66.67684937,181.1999969,39.90486145,39.71947479
96,93.2000885,64.75234222,178.8000031,40.68013382,39.26715088
97,93.36313629,69.44025421,182.8999939,40.64528656,40.34667969
98,92.93244934,76.76325989,184.1300049,40.00938797,40.06624603
99,94.47032928,82.78351593,189.7100067,40.29685211,40.6844101
100,95.12004089,76.98038483,190.5599976,40.4188118,41.05531311
101,93.94958496,74.87822723,191.0099945,39.8787384,41.04325104
102,93.75978088,84.13561249,190.7599945,40.72368622,41.13673782
103,95.73566437,87.04704285,190.4799957,40.91533279,41.20608521
104,94.41435242,90.40260315,192.2700043,40.95888519,41.33573914
105,94.67956543,102.8082886,192.1000061,40.85436249,41.76996613
106,90.37011719,87.35299683,193.25,41.2986145,41.67951584
107,90.14622498,83.06972504,194.5200043,40.4188118,41.40510559
108,92.2827301,85.39888,192.1399994,41.10697174,42.02628708
109,90.76675415,84.26390839,194.1199951,40.31427383,41.83028793
110,92.50660706,81.42156219,196.4100037,40.6888504,42.16498947
111,93.62593079,83.05986023,194.3000031,40.4536438,42.02025223
112,103.4275131,81.03665924,195.7799988,41.02856827,41.85742569
113,106.0336533,84.35273743,199.2599945,41.08083725,42.03231812
114,106.741745,82.08280182,200.2400055,41.52509689,42.35196304
115,107.1286697,80.23725128,203.6199951,41.22893524,42.54193497
116,110.8662796,76.07241058,205.0200043,41.61220551,42.49066925
117,108.3456726,75.99345398,209.4799957,41.31602859,42.52986526
118,109.9204559,72.98332214,212.5800018,41.57736206,42.81633377
119,106.6514435,67.55521393,212.6600037,41.10697174,42.46051407
120,110.1959229,68.20659637,213.2400055,41.89966965,43.44053268
121,112.1461105,70.07188416,211.9799957,37.21318054,43.57019043
122,112.0461655,67.74273682,210.9600067,37.02153778,43.56718063
123,111.7536087,69.34156036,206.7799988,36.66439056,44.21248627
124,112.6848526,66.99266815,208.3300018,36.56856537,44.52307892
125,112.8262405,64.74247742,207.2100067,36.47274017,44.29088211
126,115.3298187,65.40371704,206.1199951,36.8560257,44.55322647
127,121.2730255,72.06547546,207.4299927,36.80376053,44.76130295
128,122.7234802,69.92384338,212.6100006,36.74278641,45.19853973
129,121.7166901,69.56855011,213.3500061,36.55115128,45.09601212
130,123.371933,67.01241302,214.6600037,36.80376053,45.49707413
131,121.8970947,64.73260498,216.8699951,36.83859253,45.72624207
132,121.699646,63.16339111,218.5500031,36.76021576,45.94937897
133,125.8267441,60.44934082,218.0399933,36.77762985,46.44693375
134,130.8387604,57.05430984,218.5500031,36.61211777,46.20871353
135,128.1279907,61.17966843,221.6799927,36.95183945,46.61581039
136,117.8699417,58.50508881,218.1499939,35.67133713,45.20457077
137,117.9479599,57.80437088,218.3200073,35.55810165,45.14426041
138,110.010643,59.04790497,217.8000031,34.84380722,43.42243195
139,114.3985672,61.50535202,219.6300049,34.95703506,44.48085785
140,110.6639633,60.3999939,217.8000031,34.46922302,44.26676559
141,109.2110519,64.27861786,217.9299927,34.73926926,44.49291611
142,112.4873886,66.59790039,219.9400024,35.16610718,45.46088791
143,112.6629257,66.04521942,218.9400024,35.36645126,45.84082413
144,109.337822,65.17672729,219.5899963,35.20964813,45.56642532
145,107.5923996,65.90705109,218.0500031,35.16610718,44.98745346
146,104.1795578,66.12417603,218.2100067,34.67829132,44.9241333
147,107.3388672,65.2556839,213.0200043,34.00754547,44.49593735
148,109.0257874,66.17352295,214.1600037,34.25144958,44.56830215
149,104.4525833,62.99561691,209.6100006,33.34550858,43.65703201
150,105.5251923,62.00868607,208.7200012,32.97094345,43.90863419
151,109.4840851,65.81822968,210.4499969,33.49359894,44.38763046
152,112.0973511,65.63071442,213.5399933,34.08594131,45.10610199
153,111.2490082,65.98600769,210.4400024,34.02497482,44.81204605
154,112.9261856,68.32502747,212.9400024,34.31242752,45.27586746
155,113.8817749,71.75953674,212.0200043,34.11022949,45.88823318
156,110.2056503,72.73658752,211.1799927,33.64429474,45.33346939
157,113.5990143,79.6450882,212.3600006,33.90802765,45.78516388
158,110.3421707,84.47116089,210.2599945,33.90802765,45.26374054
159,112.2143707,85.10280609,213.2899933,34.63770676,46.10347366
160,112.1070938,86.80031586,215.1499939,34.98056793,46.38238144
161,114.0572968,87.87606812,215.6799927,35.03330994,46.8067894
162,121.3022766,87.57998657,216.4100037,35.48167038,47.31911087
163,118.084465,91.78430176,212.3099976,34.99814987,47.30092239
164,118.1722183,85.7245636,210.9100037,35.06847763,47.27667618
165,117.7041779,89.19854736,211.6499939,35.1388092,47.22211456
166,116.0562439,92.86005402,211.9100037,35.30583954,47.0583992
167,113.0919724,92.692276,208.9900055,34.54978943,46.43391418
168,114.583847,93.11665344,210.0599976,34.46188736,46.27627182
169,113.9597855,86.57332611,210.1799927,34.33880615,46.28233337
170,112.8676987,85.23110199,211.6100006,34.12781143,46.42784882
171,112.1753616,87.53064728,212.7100067,34.12781143,46.55516815
172,112.1851196,81.84593964,208.4900055,33.11680984,45.89430237
173,113.6965103,82.8526001,206.8800049,32.41351318,45.80031586
174,108.4309769,76.52639771,200.6999969,31.39372253,44.45735931
175,112.4483795,83.70136261,201.5099945,31.37613297,44.5179863
